"","CPSID","county","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FSSTMPVALC","female","hispanic","black","kids","elderly","education","married","FSSTMPVALC_bin","FSSTMPVALC_bin_char"
"82","20210902118700","0",4629.3054,6,91.6666666666667,0,0,0,0,0,0,550,NA,3,0,0,4,1,2,2,0,"No"
"83","20210902119700","0",3566.4847,2,20,0,0,0,NA,NA,0,40,NA,1,0,0,0,2,2,2,0,"No"
"84","20210902120000","17097",5003.1308,5,0,0,0,0,NA,NA,0,0,NA,2,5,0,2,0,2,2,0,"No"
"85","20210902121000","0",3623.7058,1,140,0,0,1,0,0,0,140,NA,1,0,0,0,1,0,0,0,"No"
"86","20210902121800","0",3838.0944,2,165,0,0,0,NA,NA,0,330,NA,1,0,0,0,2,2,2,0,"No"
"87","20210902122000","17097",4721.5851,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,"No"
"88","20210902123500","17111",5003.1308,4,105,0,1,1,1,0,0,420,NA,2,4,0,2,0,1,2,0,"No"
"89","20210902124800","0",3838.0944,2,60,0,1,1,0,0,1,120,NA,1,0,0,0,1,0,0,0,"No"
"90","20210902126800","0",4498.3702,1,100,0,1,0,1,0,0,100,NA,0,0,0,0,0,0,0,0,"No"
"91","20210902128300","0",5375.0567,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,"No"
"92","20210902129500","0",3882.8425,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,"No"
"93","20210902129800","0",4094.9489,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0,2,0,"No"
"94","20210902131300","0",5231.0405,8,10,0,0,0,0,0,0,80,NA,5,0,0,6,0,2,2,0,"No"
"95","20210902131700","0",4645.4794,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,2,0,"No"
"96","20210902134700","0",5383.1458,4,62.5,0,0,1,0,0,0,250,70,2,0,0,2,0,0,2,1,"Yes"
"97","20210902136900","0",3760.513,1,90,0,0,0,NA,NA,0,90,NA,1,0,0,0,1,1,0,0,"No"
"98","20210902140500","0",6333.0849,1,40,0,0,1,0,0,0,40,NA,1,0,0,0,0,0,0,0,"No"
"99","20210902145600","0",3558.6521,1,130,0,0,0,1,0,0,130,20,0,0,0,0,1,0,0,1,"Yes"
"100","20210902151500","0",5260.8863,3,23.3333333333333,0,0,0,0,1,0,70,NA,1,0,3,2,0,1,0,0,"No"
"101","20210902151700","0",4053.9392,1,140,0,0,0,0,0,0,140,NA,1,0,0,0,0,0,0,0,"No"
"102","20210902152900","0",4135.9701,2,135,0,0,0,NA,NA,0,270,NA,1,0,0,0,2,2,2,0,"No"
"103","20210902154100","0",3896.3668,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,"No"
"104","20210902155200","0",4217.0829,1,70,0,0,0,NA,NA,0,70,NA,1,1,0,0,0,1,0,0,"No"
"105","20210902157500","0",4463.216,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,2,2,0,"No"
"106","20210902159400","0",3619.8609,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,"No"
